Zeitstempel;Kanton;Isolierte;Kontaktpersonen in Quarantäne;Reiserückkehrer in Quarantäne;In Quarantäne total;Fälle mit Wohnsitz BS;Fälle mit Wohnsitz ausserhalb BS;Differenz Fälle mit Wohnsitz BS;Differenz Fälle mit Wohnsitz ausserhalb BS;Hospitalisierte;Hospitalisierte mit Wohnsitz BS;Hospitalisierte mit Wohnsitz ausserhalb BS;Neu Hospitalisierte;Fälle auf Intensivstation;Intubierte;Genesene;Differenz Genesene;Verstorbene;Differenz Verstorbene;Quelle;Datum;Zeit;Woche
2020-02-29T15:23:00+01:00;BS;;;;;1;1;0;0;;;;;;;;;;;https://twitter.com/BAG_OFSP_UFSP/status/1233759578241863681?s=20;2020-02-29;15:23;9
2020-03-04T17:20:00+01:00;BS;;;;;3;3;0;0;;;;;;;;;;;https://twitter.com/BAG_OFSP_UFSP/status/1235240377134862336?s=20;2020-03-04;17:20;10
2020-03-06T14:00:00+01:00;BS;;;;;15;3;7;0;1;;;;;;;;;;https://twitter.com/BAG_OFSP_UFSP/status/1235934884167852035?s=20;2020-03-06;14:00;10
2020-03-09T12:00:00+01:00;BS;;;;;28;3;4;0;1;;;;;;;;;;https://twitter.com/BAG_OFSP_UFSP/status/1236973685602426881?s=20;2020-03-09;12:00;11
2020-03-13T12:30:00+01:00;BS;;;;;92;3;19;0;13;;;;;;4;0;1;0;https://twitter.com/BAG_OFSP_UFSP/status/1238430659762364417?s=20;2020-03-13;12:30;11
2020-03-16T12:00:00+01:00;BS;;;;;143;122;43;119;13;;;;;;4;0;4;3;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-144-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-16;12:00;12
2020-03-23T10:00:00+01:00;BS;;;;;374;269;18;10;56;;;;;;78;5;5;0;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-376-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-23;10:00;13
2020-03-25T10:00:00+01:00;BS;;;;;462;299;52;15;58;;;;;;128;23;8;3;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-466-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-25;10:00;13
2020-03-27T10:00:00+01:00;BS;;;;;530;335;29;17;76;;19;;8;;191;36;13;1;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-534-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-27;10:00;13
2020-03-28T10:00:00+01:00;BS;;;;;569;357;39;22;79;;20;;11;;211;20;13;0;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-573-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-28;10:00;13
