Jahr;Monat;Kalenderwoche;Startdatum Woche;Tag-Nr.;Wochentag;Sterbedatum;Anzahl Männer 0-64;Anzahl Männer 65+;Anzahl Frauen 0-64;Anzahl Frauen 65+;Anzahl Gestorbene total
2008;5;20;2008-05-12;133;Mo;2008-05-12;0;0;1;3;4
2017;6;26;2017-06-26;181;Fr;2017-06-30;1;3;0;3;7
2009;9;40;2009-09-28;271;Mo;2009-09-28;0;1;0;3;4
2008;8;31;2008-07-28;216;So;2008-08-03;0;2;0;2;4
2011;10;43;2011-10-24;300;Do;2011-10-27;1;3;0;4;8
2013;9;36;2013-09-02;245;Mo;2013-09-02;1;2;0;4;7
2017;10;40;2017-10-02;276;Di;2017-10-03;2;1;0;1;4
2018;11;48;2018-11-26;332;Mi;2018-11-28;1;1;0;2;4
2008;9;39;2008-09-22;266;Mo;2008-09-22;1;1;0;2;4
2014;8;32;2014-08-04;218;Mi;2014-08-06;0;1;0;3;4
2013;3;12;2013-03-18;79;Mi;2013-03-20;0;3;0;3;6
2020;8;32;2020-08-03;216;Mo;2020-08-03;0;3;0;6;9
2019;12;50;2019-12-09;343;Mo;2019-12-09;2;1;0;3;6
2009;5;21;2009-05-18;138;Mo;2009-05-18;0;2;1;2;5
2015;9;36;2015-08-31;248;Sa;2015-09-05;0;3;0;2;5
2008;1;4;2008-01-21;26;Sa;2008-01-26;1;3;1;2;7
2016;3;11;2016-03-14;76;Mi;2016-03-16;0;1;0;4;5
2020;10;43;2020-10-19;299;So;2020-10-25;0;3;1;0;4
2015;6;24;2015-06-08;165;So;2015-06-14;1;1;0;2;4
2007;4;16;2007-04-16;110;Fr;2007-04-20;1;2;0;2;5
2014;5;18;2014-04-28;123;Sa;2014-05-03;1;2;0;1;4
2007;1;4;2007-01-22;27;Sa;2007-01-27;0;2;0;3;5
2016;3;13;2016-03-28;88;Mo;2016-03-28;1;3;0;4;8
2005;5;19;2005-05-09;131;Mi;2005-05-11;0;3;1;6;10
2014;12;51;2014-12-15;351;Mi;2014-12-17;1;2;0;6;9
2016;6;24;2016-06-13;171;So;2016-06-19;2;1;0;5;8
2015;3;11;2015-03-09;70;Mi;2015-03-11;1;1;0;5;7
2008;6;23;2008-06-02;159;Sa;2008-06-07;0;0;1;3;4
2011;1;52;2010-12-27;1;Sa;2011-01-01;1;0;0;2;3
2013;1;5;2013-01-28;29;Di;2013-01-29;0;0;0;2;2
2017;4;14;2017-04-03;98;Sa;2017-04-08;0;3;2;1;6
2018;4;14;2018-04-02;97;Sa;2018-04-07;0;4;0;3;7
2013;3;13;2013-03-25;86;Mi;2013-03-27;0;5;0;4;9
2014;5;21;2014-05-19;142;Do;2014-05-22;0;2;0;2;4
2008;3;11;2008-03-10;76;So;2008-03-16;0;0;2;2;4
2010;8;31;2010-08-02;218;Fr;2010-08-06;0;1;0;1;2
2016;7;28;2016-07-11;195;Mi;2016-07-13;0;1;0;2;3
2005;3;12;2005-03-21;81;Di;2005-03-22;1;5;0;6;12
2017;11;48;2017-11-27;333;Mi;2017-11-29;0;3;0;4;7
2011;3;9;2011-02-28;65;So;2011-03-06;1;1;1;0;3
2007;11;46;2007-11-12;319;Do;2007-11-15;1;2;0;4;7
2013;12;49;2013-12-02;340;Fr;2013-12-06;1;1;0;2;4
2006;4;13;2006-03-27;92;So;2006-04-02;0;4;0;1;5
2007;5;22;2007-05-28;148;Mo;2007-05-28;0;2;1;3;6
2018;6;24;2018-06-11;166;Fr;2018-06-15;0;0;0;4;4
2016;7;30;2016-07-25;209;Mi;2016-07-27;0;2;0;2;4
2006;6;25;2006-06-19;175;Sa;2006-06-24;0;2;1;4;7
2015;7;30;2015-07-20;203;Mi;2015-07-22;0;4;1;3;8
2009;6;26;2009-06-22;176;Do;2009-06-25;0;3;0;0;3
2005;9;38;2005-09-19;264;Mi;2005-09-21;0;3;0;3;6
2006;1;2;2006-01-09;9;Mo;2006-01-09;0;0;0;1;1
2009;1;2;2009-01-05;10;Sa;2009-01-10;1;2;0;0;3
2010;5;21;2010-05-24;149;Sa;2010-05-29;1;1;1;5;8
2018;12;50;2018-12-10;344;Mo;2018-12-10;2;3;0;2;7
2008;12;49;2008-12-01;337;Di;2008-12-02;0;2;0;1;3
2011;4;14;2011-04-04;96;Mi;2011-04-06;0;1;0;5;6
2012;6;26;2012-06-25;178;Di;2012-06-26;1;0;0;0;1
2019;2;5;2019-01-28;32;Fr;2019-02-01;0;2;0;4;6
2014;2;8;2014-02-17;52;Fr;2014-02-21;0;2;0;1;3
2019;4;17;2019-04-22;115;Do;2019-04-25;0;3;0;2;5
2016;11;45;2016-11-07;316;Fr;2016-11-11;0;3;0;6;9
2017;1;1;2017-01-02;3;Di;2017-01-03;1;2;0;3;6
2009;10;41;2009-10-05;283;Sa;2009-10-10;0;2;0;2;4
2010;10;40;2010-10-04;282;Sa;2010-10-09;1;0;1;2;4
2007;1;3;2007-01-15;15;Mo;2007-01-15;0;4;0;1;5
2021;1;1;2021-01-04;10;So;2021-01-10;1;3;1;4;9
2010;7;28;2010-07-12;199;So;2010-07-18;0;2;0;1;3
2016;4;14;2016-04-04;100;Sa;2016-04-09;0;6;0;2;8
2009;7;29;2009-07-13;200;So;2009-07-19;0;2;1;3;6
2014;1;5;2014-01-27;28;Di;2014-01-28;1;2;0;2;5
2006;5;22;2006-05-29;149;Mo;2006-05-29;0;4;0;3;7
2019;3;12;2019-03-18;82;Sa;2019-03-23;0;3;0;6;9
2009;1;3;2009-01-12;17;Sa;2009-01-17;0;4;1;4;9
2013;11;45;2013-11-04;314;So;2013-11-10;0;0;0;6;6
2008;10;44;2008-10-27;304;Do;2008-10-30;0;1;1;4;6
